nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_09_20,02_09_20,03_09_20,04_09_20,05_09_20,06_09_20,07_09_20,08_09_20,09_09_20,10_09_20,11_09_20,12_09_20,13_09_20,14_09_20,15_09_20,16_09_20,17_09_20,18_09_20,19_09_20,20_09_20,21_09_20,22_09_20,23_09_20,24_09_20,25_09_20,26_09_20,27_09_20,28_09_20,29_09_20,30_09_20,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,3.0,1.3,10.1,1.2,0.6,2.4,1.3,0.3,0.0,1.0,6.3,4.8,1.4,1.9,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,41.3
Piatã,A430,Piatã,Piatã - A430,-13.156,-41.774,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,3.2,0.4,2.8,0.2,0.0,3.4,0.0,0.0,0.0,0.0,0.8,10.0,0.4,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.683,-41.841,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.762,-40.214,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,6.0,6.0,0.0,3.2,0.4,1.0,1.8,2.2,0.4,0.2,0.0,3.0,5.2,2.0,2.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,3.2,1.4,11.2,1.4,0.6,2.8,1.2,0.4,0.0,1.0,7.0,4.8,1.0,1.8,4.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
Itaetê,,Itaetê,Itaetê,-12.992,-40.961,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.932,-40.226,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,2.0,0.2,3.4,0.8,0.0,1.8,1.6,0.2,0.0,0.4,0.4,0.0,4.6,2.2,0.2,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.8,-40.363,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,10.8,0.6,3.0,0.8,1.0,0.4,2.8,0.0,0.0,0.8,3.4,0.8,0.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.772,-41.541,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.6,0.4,1.8,1.0,0.4,0.0,2.4,0.0,0.6,0.0,0.0,1.8,7.2,0.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.154,-40.768,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,1.4,2.2,2.6,0.0,0.8,1.6,0.0,0.0,0.0,0.0,0.0,1.2,2.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
